"Position","Name","Type","Signal","Label","TIM2_REMAP2","TIM2_REMAP1","TIM3_REMAP1","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","USART2_REMAP1","USART1_REMAP1","I2C1_REMAP1"
"100","PA8","I/O","","","","","","","","","","","","","",""
"101","PA9","I/O","","","","","","","","","","","","","",""
"102","PA10","I/O","","","","","","","","","","","","","",""
"103","PA11","I/O","","","","","","","","","","","","","",""
"104","PA12","I/O","","","","","","","","","","","","","",""
"105","PA13","I/O","","","","","","","","","","","","","",""
"106","NC","NC","","","","","","","","","","","","","",""
"107","VSS","Power","","","","","","","","","","","","","",""
"108","VDD","Power","","","","","","","","","","","","","",""
"109","PA14","I/O","","","","","","","","","","","","","",""
"110","PA15","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM2_CH1/TIM2_ETR","","","","","SPI1_NSS","","",""
"111","PC10","I/O","","","","","","","USART3_TX","","","","","","",""
"112","PC11","I/O","","","","","","","USART3_RX","","","","","","",""
"113","PC12","I/O","","","","","","","USART3_CK","","","","","","",""
"114","PD0","I/O","","","","","","","","","","","","","",""
"115","PD1","I/O","","","","","","","","","","","","","",""
"116","PD2","I/O","","","","","","","","","","","","","",""
"117","PD3","I/O","","","","","","","","","","","","USART2_CTS","",""
"118","PD4","I/O","","","","","","","","","","","","USART2_RTS","",""
"119","PD5","I/O","","","","","","","","","","","","USART2_TX","",""
"120","VSS","Power","","","","","","","","","","","","","",""
"121","VDD","Power","","","","","","","","","","","","","",""
"122","PD6","I/O","","","","","","","","","","","","USART2_RX","",""
"123","PD7","I/O","","","","","","","","","","","","USART2_CK","",""
"124","PG9","I/O","","","","","","","","","","","","","",""
"125","PG10","I/O","","","","","","","","","","","","","",""
"126","PG11","I/O","","","","","","","","","","","","","",""
"127","PG12","I/O","","","","","","","","","","","","","",""
"128","PG13","I/O","","","","","","","","","","","","","",""
"129","PG14","I/O","","","","","","","","","","","","","",""
"130","VSS","Power","","","","","","","","","","","","","",""
"131","VDD","Power","","","","","","","","","","","","","",""
"132","PG15","I/O","","","","","","","","","","","","","",""
"133","PB3","I/O","","","","TIM2_CH2","","TIM2_CH2","","","","","SPI1_SCK","","",""
"134","PB4","I/O","","","","","TIM3_CH1","","","","","","SPI1_MISO","","",""
"135","PB5","I/O","","","","","TIM3_CH2","","","","","","SPI1_MOSI","","",""
"136","PB6","I/O","","","","","","","","","","","","","USART1_TX",""
"137","PB7","I/O","","","","","","","","","","","","","USART1_RX",""
"138","BOOT0","Boot","","","","","","","","","","","","","",""
"139","PB8","I/O","","","","","","","","","","","","","","I2C1_SCL"
"140","PB9","I/O","","","","","","","","","","","","","","I2C1_SDA"
"141","PE0","I/O","","","","","","","","","","","","","",""
"142","PE1","I/O","","","","","","","","","","","","","",""
"143","VSS","Power","","","","","","","","","","","","","",""
"144","VDD","Power","","","","","","","","","","","","","",""
