"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"1","PE2","I/O","","","SYS_TRACECLK","","","","","SPI4_SCK","SAI1_MCLK_A","","","QUADSPI_BK1_IO2","","ETH_TXD3","FMC_A23",""
"2","PE3","I/O","","","SYS_TRACED0","","","","","","SAI1_SD_B","","","","","","FMC_A19",""
"3","PE4","I/O","","","SYS_TRACED1","","","","","SPI4_NSS","SAI1_FS_A","","","","","","FMC_A20","DCMI_D4"
"4","PE5","I/O","","","SYS_TRACED2","","","TIM9_CH1","","SPI4_MISO","SAI1_SCK_A","","","","","","FMC_A21","DCMI_D6"
"5","PE6","I/O","","","SYS_TRACED3","TIM1_BKIN2","","TIM9_CH2","","SPI4_MOSI","SAI1_SD_A","","","","SAI2_MCLK_B","","FMC_A22","DCMI_D7"
"6","VBAT","Power","","","","","","","","","","","","","","","",""
"7","PI8","I/O","","","","","","","","","","","","","","","",""
"8","PC13","I/O","","","","","","","","","","","","","","","",""
"9","PC14/OSC32_IN","I/O","","","","","","","","","","","","","","","",""
"10","PC15/OSC32_OUT","I/O","","","","","","","","","","","","","","","",""
"11","PI9","I/O","","","","","","","","","","","","CAN1_RX","","","FMC_D30",""
"12","PI10","I/O","","","","","","","","","","","","","","ETH_RX_ER","FMC_D31",""
"13","PI11","I/O","","","","","","","","","","","","","USB_OTG_HS_ULPI_DIR","","",""
"14","VSS","Power","","","","","","","","","","","","","","","",""
"15","VDD","Power","","","","","","","","","","","","","","","",""
"16","PF0","I/O","","","","","","","I2C2_SDA","","","","","","","","FMC_A0",""
"17","PF1","I/O","","","","","","","I2C2_SCL","","","","","","","","FMC_A1",""
"18","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2",""
"19","PF3","I/O","","","","","","","","","","","","","","","FMC_A3",""
"20","PF4","I/O","","","","","","","","","","","","","","","FMC_A4",""
"21","PF5","I/O","","","","","","","","","","","","","","","FMC_A5",""
"22","VSS","Power","","","","","","","","","","","","","","","",""
"23","VDD","Power","","","","","","","","","","","","","","","",""
"24","PF6","I/O","","","","","","TIM10_CH1","","SPI5_NSS","SAI1_SD_B","","UART7_RX","QUADSPI_BK1_IO3","","","",""
"25","PF7","I/O","","","","","","TIM11_CH1","","SPI5_SCK","SAI1_MCLK_B","","UART7_TX","QUADSPI_BK1_IO2","","","",""
"26","PF8","I/O","","","","","","","","SPI5_MISO","SAI1_SCK_B","","UART7_DE/UART7_RTS","TIM13_CH1","QUADSPI_BK1_IO0","","",""
"27","PF9","I/O","","","","","","","","SPI5_MOSI","SAI1_FS_B","","UART7_CTS","TIM14_CH1","QUADSPI_BK1_IO1","","",""
"28","PF10","I/O","","","","","","","","","","","","","","","","DCMI_D11"
"29","PH0/OSC_IN","I/O","","","","","","","","","","","","","","","",""
"30","PH1/OSC_OUT","I/O","","","","","","","","","","","","","","","",""
"31","NRST","Reset","","","","","","","","","","","","","","","",""
"32","PC0","I/O","","","","","","","","","","","SAI2_FS_B","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE",""
"33","PC1","I/O","","","SYS_TRACED0","","","","","I2S2_SD/SPI2_MOSI","SAI1_SD_A","","","","","ETH_MDC","",""
"34","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","FMC_SDNE0",""
"35","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","FMC_SDCKE0",""
"36","VDD","Power","","","","","","","","","","","","","","","",""
"37","VSSA","Power","","","","","","","","","","","","","","","",""
"38","VREF+","Power","","","","","","","","","","","","","","","",""
"39","VDDA","Power","","","","","","","","","","","","","","","",""
"40","PA0/WKUP","I/O","","","","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","SAI2_SD_B","ETH_CRS","",""
"41","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_DE/USART2_RTS","UART4_RX","QUADSPI_BK1_IO3","SAI2_MCLK_B","ETH_REF_CLK/ETH_RX_CLK","",""
"42","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","SAI2_SCK_B","","","ETH_MDIO","",""
"43","PH2","I/O","","","","","","LPTIM1_IN2","","","","","","QUADSPI_BK2_IO0","SAI2_SCK_B","ETH_CRS","FMC_SDCKE0",""
"44","PH3","I/O","","","","","","","","","","","","QUADSPI_BK2_IO1","SAI2_MCLK_B","ETH_COL","FMC_SDNE0",""
"45","PH4","I/O","","","","","","","I2C2_SCL","","","","","","USB_OTG_HS_ULPI_NXT","","",""
